date,PM2.5,O3,CO,NO2,SO2,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2010-12-16,8.23333333333673,0.011266250000003716,0.21859950000018777,31.75555533334171,3.136245483869575,34.0,10.0,2.0,30.0,4.0,34.0,Good,5
2010-12-17,,0.006991250000000125,0.407987749999997,32.51755033333223,5.184117451612938,,6.0,5.0,31.0,7.0,31.0,Good,4
2010-12-18,17.950000000003218,0.0049145000000017335,0.4258929999997952,31.065277666657014,4.796163774192838,63.0,5.0,5.0,29.0,7.0,63.0,Moderate,5
2010-12-19,21.399999999991685,0.014560999999973283,0.5157432499997974,24.002777999978864,5.50741853846404,71.0,13.0,6.0,23.0,8.0,71.0,Moderate,5
2010-12-20,14.100000000000946,0.017310499999991253,0.15703300000000237,18.07658733332793,4.014380307691635,55.0,16.0,2.0,17.0,6.0,55.0,Moderate,5
2010-12-21,7.099999999997957,0.018131000000009074,0.10185724999998755,14.136111333335208,2.2048683225810155,30.0,17.0,1.0,13.0,3.0,30.0,Good,5
2010-12-22,6.499999999994111,0.017023000000002404,0.10467400000002057,15.728968333319152,1.928514516129222,27.0,16.0,1.0,15.0,3.0,27.0,Good,5
2010-12-23,7.550000000001872,0.022915999999987335,0.09869324999999997,13.996464666666158,1.8250783870970688,31.0,21.0,1.0,13.0,3.0,31.0,Good,5
2010-12-24,7.450000000004737,0.021168749999990674,0.10122825000000253,15.170454666667462,2.1233867419358403,31.0,20.0,1.0,14.0,3.0,31.0,Good,5
2010-12-25,12.080000000007262,0.011716499999998145,0.13903024999993208,23.260858666641095,3.818741433332171,,11.0,2.0,22.0,5.0,22.0,Good,5
2010-12-26,9.649999999998156,0.022271749999995316,0.14284549999997662,16.303534999996103,2.947943346153396,40.0,21.0,2.0,15.0,4.0,40.0,Good,5
2010-12-27,3.89999999999986,0.0299587500000083,0.0944892499999762,9.1160816666689,1.7589696153851524,16.0,28.0,1.0,9.0,3.0,28.0,Good,5
2010-12-28,4.4399999999973385,0.023094250000006443,0.10357599999998303,16.283333333325643,1.983545230770335,18.0,21.0,1.0,15.0,3.0,21.0,Good,5
2010-12-29,10.249999999988392,0.013408249999998168,0.14416099999996515,25.095454666658366,2.778270448276097,43.0,12.0,2.0,24.0,4.0,43.0,Good,5
2010-12-30,16.60000000000247,0.005868999999995287,0.2918730000000347,35.930050333327834,4.165554741935646,60.0,5.0,3.0,34.0,6.0,60.0,Moderate,5
2010-12-31,23.12000000001183,0.006491000000008431,0.3728987499996516,36.42626299994562,5.516843677418998,74.0,6.0,4.0,34.0,8.0,74.0,Moderate,5
2011-01-01,26.200000000002124,0.010043750000002613,0.4037222499999698,33.23181799999239,5.128750047619626,81.0,9.0,5.0,31.0,7.0,81.0,Moderate,5
2011-01-02,20.600000000021012,0.011119250000001168,0.28789424999985014,18.914899333350593,2.118563322580695,69.0,10.0,3.0,18.0,3.0,69.0,Moderate,5
2011-01-03,5.739999999996263,0.019071250000010906,0.12504350000005376,17.272222333312868,1.9811999000002982,24.0,18.0,1.0,16.0,3.0,24.0,Good,5
2011-01-04,13.899999999996101,0.009703750000001583,0.20425374999998902,29.41619899998785,4.8821787419349425,55.0,9.0,2.0,28.0,7.0,55.0,Moderate,5
2011-01-05,12.249999999991855,0.014502750000006394,0.21089849999998195,26.813600333333355,4.240773129031636,51.0,13.0,2.0,25.0,6.0,51.0,Moderate,5
2011-01-06,7.939999999998731,0.013802499999982676,0.1954689999998725,29.012878666643566,3.886688677418645,33.0,13.0,2.0,27.0,6.0,33.0,Good,5
2011-01-07,12.549999999990709,0.012899499999990505,0.3401364999999876,32.145707333330165,5.124708741934152,52.0,12.0,4.0,30.0,7.0,52.0,Moderate,5
2011-01-08,10.749999999996477,0.01959274999999364,0.1743115000000609,16.80505033332495,2.6598878064518816,45.0,18.0,2.0,16.0,4.0,45.0,Good,5
2011-01-09,6.15999999999363,0.024780000000031856,0.1075304999998081,11.309722000008556,2.4981500000001766,26.0,23.0,1.0,11.0,4.0,26.0,Good,5
2011-01-10,6.200000000005609,0.019974000000007194,0.10686349999995721,17.986507666658497,2.55223196774184,26.0,18.0,1.0,17.0,4.0,26.0,Good,5
2011-01-11,10.200000000008048,0.010175250000008986,0.2281357499999414,26.92795366665288,4.04072161290308,43.0,9.0,3.0,25.0,6.0,43.0,Good,5
2011-01-12,3.839999999999313,0.020833000000020196,0.122796999999998,15.429166666676856,1.882544419354864,16.0,19.0,1.0,15.0,3.0,19.0,Good,5
2011-01-13,5.700000000005561,0.022264499999991305,0.11158724999992653,16.292297999997885,2.320060451613258,24.0,21.0,1.0,15.0,3.0,24.0,Good,5
2011-01-14,10.150000000007797,0.013819000000003289,0.14407249999993696,24.961615999995733,2.985287322579698,42.0,13.0,2.0,24.0,4.0,42.0,Good,5
2011-01-15,13.379999999982653,0.01575350000001994,0.22451799999964467,27.405555666636467,4.384646225810907,54.0,15.0,3.0,26.0,6.0,54.0,Moderate,5
2011-01-16,16.449999999991434,0.020444499999983153,0.15351149999994734,17.746969666671355,3.8143368387089485,60.0,19.0,2.0,17.0,5.0,60.0,Moderate,5
2011-01-17,10.299999999997288,0.015387500000002144,0.16720475000005755,22.363636333337922,3.79830322580589,43.0,14.0,2.0,21.0,5.0,43.0,Good,5
2011-01-18,14.874999999992346,0.01299424999998773,0.39383524999986175,32.969047666627944,5.03062264516233,57.0,12.0,4.0,31.0,7.0,57.0,Moderate,5
2011-01-19,9.950000000002113,0.009845500000003976,0.22314399999994064,26.16035366666469,2.6495674516126626,41.0,9.0,3.0,25.0,4.0,41.0,Good,5
2011-01-20,12.799999999988358,0.008837000000002067,0.18479750000004572,22.418686666657855,2.9322308064515745,52.0,8.0,2.0,21.0,4.0,52.0,Moderate,5
2011-01-21,14.079999999995477,0.014265999999981465,0.22088774999985508,26.284722333318726,4.238270548385749,55.0,13.0,3.0,25.0,6.0,55.0,Moderate,5
2011-01-22,11.349999999997909,0.013740500000001736,0.22104924999991105,22.38699466666173,4.278483354837679,47.0,13.0,3.0,21.0,6.0,47.0,Good,5
2011-01-23,14.90000000001281,0.02059325000001034,0.2714079999999846,22.12979800000895,7.18900109677321,57.0,19.0,3.0,21.0,10.0,57.0,Moderate,5
2011-01-24,11.199999999992032,0.01358600000002354,0.2526194999995879,25.09563499997564,4.494953483869809,47.0,13.0,3.0,24.0,6.0,47.0,Good,5
2011-01-25,29.64999999997035,0.0043250000000009696,0.6468979999999978,38.64837666665215,7.121774258064553,88.0,4.0,7.0,36.0,10.0,88.0,Moderate,5
2011-01-26,38.70000000000776,0.007567499999995413,0.9803007499997686,38.33055566668147,9.489967645161967,109.0,7.0,11.0,36.0,14.0,109.0,Unhealthy for Sensitive Groups,5
2011-01-27,11.939999999980401,0.014769750000033208,0.38706025000000877,22.497222000004633,3.633589709678647,50.0,14.0,4.0,21.0,5.0,50.0,Good,5
2011-01-28,23.74999999998404,0.004692000000000235,0.6940725000002766,42.10065899999269,6.555264322581519,75.0,4.0,8.0,40.0,9.0,75.0,Moderate,5
