latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.355007,70.99706,3005.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),precipitation_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2000-01-01,3,-11.3,-15.5,0.00,44.6,6.2,191
2000-01-02,3,-8.5,-12.7,0.00,43.9,5.6,199
2000-01-03,3,-7.0,-11.4,0.00,34.9,5.2,194
2000-01-04,3,-4.9,-9.5,0.00,29.5,5.1,188
2000-01-05,3,-7.4,-12.0,0.00,46.1,5.9,189
2000-01-06,73,-8.9,-13.0,8.90,54.0,5.8,192
2000-01-07,75,-7.4,-11.4,17.10,70.2,7.4,188
2000-01-08,73,-13.2,-17.7,5.00,67.0,9.0,205
2000-01-09,3,-17.0,-21.6,0.00,36.7,5.7,197
2000-01-10,2,-16.9,-21.7,0.00,32.4,5.2,191
2000-01-11,0,-15.1,-19.8,0.00,32.4,4.7,190
2000-01-12,0,-14.0,-18.6,0.00,24.5,4.7,191
2000-01-13,0,-18.4,-23.0,0.00,25.9,5.1,193
2000-01-14,0,-19.8,-24.5,0.00,27.7,5.4,189
2000-01-15,0,-16.9,-21.6,0.00,22.3,5.4,186
2000-01-16,3,-15.5,-20.3,0.00,27.0,5.5,185
2000-01-17,73,-15.1,-19.8,2.00,50.0,6.5,183
2000-01-18,73,-14.3,-18.7,5.00,49.7,6.5,185
2000-01-19,3,-14.6,-19.2,0.00,30.2,6.1,184
2000-01-20,73,-12.1,-16.8,3.10,55.4,6.2,184
2000-01-21,3,-10.0,-14.8,0.00,28.4,6.5,181
2000-01-22,73,-11.6,-16.3,1.20,36.7,5.4,182
2000-01-23,73,-13.3,-17.6,5.00,41.8,5.8,183
2000-01-24,3,-13.9,-18.1,0.00,29.5,4.4,185
2000-01-25,3,-14.4,-18.6,0.00,24.5,4.3,175
2000-01-26,0,-14.1,-18.6,0.00,24.5,5.1,183
2000-01-27,1,-12.5,-17.2,0.00,33.5,5.8,186
2000-01-28,73,-11.5,-16.0,0.50,31.0,6.1,182
2000-01-29,73,-8.9,-12.9,12.10,54.4,5.8,185
2000-01-30,73,-8.4,-12.1,12.30,29.9,4.0,188
2000-01-31,73,-10.7,-14.4,3.50,14.0,3.2,184
2000-02-01,2,-13.7,-18.0,0.00,24.8,5.1,184
2000-02-02,71,-14.1,-18.7,0.60,44.3,5.8,186
2000-02-03,71,-14.6,-19.0,1.00,47.2,6.1,186
2000-02-04,1,-14.1,-18.7,0.00,31.0,5.1,185
2000-02-05,1,-11.1,-15.7,0.00,27.0,5.1,186
2000-02-06,3,-12.9,-17.5,0.00,36.7,5.4,186
2000-02-07,3,-11.4,-16.0,0.00,33.5,5.8,186
2000-02-08,71,-12.2,-16.6,0.40,34.9,5.1,182
2000-02-09,71,-14.6,-18.9,1.30,33.8,5.2,194
2000-02-10,2,-17.8,-22.1,0.00,30.2,4.4,199
2000-02-11,1,-16.2,-20.6,0.00,20.2,4.7,184
2000-02-12,3,-14.4,-18.9,0.00,26.6,5.2,185
2000-02-13,3,-13.6,-18.2,0.00,29.9,5.4,183
2000-02-14,73,-11.6,-16.1,2.60,50.0,6.9,183
2000-02-15,73,-12.2,-16.3,5.30,50.0,6.5,188
2000-02-16,3,-14.6,-18.9,0.00,32.0,4.4,188
2000-02-17,0,-13.9,-18.4,0.00,19.8,4.4,189
2000-02-18,0,-15.4,-19.9,0.00,28.8,5.2,189
2000-02-19,2,-17.4,-21.7,0.00,39.2,4.1,209
2000-02-20,1,-20.0,-24.4,0.00,34.9,5.1,183
2000-02-21,0,-13.6,-18.0,0.00,37.4,4.7,170
2000-02-22,0,-11.7,-16.2,0.00,33.8,5.1,181
2000-02-23,0,-11.7,-16.2,0.00,21.2,5.1,184
2000-02-24,0,-12.1,-16.6,0.00,23.8,5.4,183
2000-02-25,3,-12.6,-17.2,0.00,25.9,5.8,180
2000-02-26,71,-11.7,-16.4,0.30,47.5,6.5,182
2000-02-27,73,-13.3,-17.8,0.90,55.4,7.8,185
2000-02-28,71,-12.3,-16.5,0.50,42.5,5.5,192
2000-02-29,73,-15.4,-19.7,2.60,41.0,5.1,214
2000-03-01,0,-14.6,-18.9,0.00,24.8,4.7,175
2000-03-02,3,-13.5,-17.7,0.00,23.8,4.7,177
2000-03-03,3,-11.9,-16.0,0.00,23.0,4.7,177
2000-03-04,71,-11.9,-15.8,0.30,18.0,2.9,184
2000-03-05,71,-13.4,-17.5,0.70,36.4,5.8,181
2000-03-06,3,-12.5,-16.7,0.00,31.0,4.7,188
2000-03-07,3,-11.3,-15.4,0.00,29.2,4.8,190
2000-03-08,3,-9.6,-13.7,0.00,33.1,5.1,190
2000-03-09,3,-8.6,-12.4,0.00,25.6,5.1,179
2000-03-10,71,-7.7,-11.5,0.50,23.4,4.0,174
2000-03-11,73,-9.8,-13.8,2.00,38.9,4.4,189
2000-03-12,3,-9.4,-13.2,0.00,31.0,4.8,194
2000-03-13,73,-8.6,-12.5,1.30,33.1,5.1,178
2000-03-14,73,-7.8,-11.7,2.70,56.9,6.1,177
2000-03-15,73,-7.8,-11.7,9.70,57.2,6.1,184
2000-03-16,73,-14.8,-19.4,5.60,56.5,8.5,196
2000-03-17,3,-14.8,-19.0,0.00,50.4,6.5,190
2000-03-18,3,-14.3,-18.4,0.00,42.1,4.5,205
2000-03-19,1,-14.2,-18.4,0.00,38.9,4.8,203
2000-03-20,0,-13.1,-17.3,0.00,31.0,5.4,181
2000-03-21,0,-8.3,-12.6,0.00,24.5,5.8,181
2000-03-22,0,-7.0,-11.3,0.00,24.5,5.4,183
2000-03-23,3,-6.5,-10.8,0.00,31.7,6.1,181
2000-03-24,73,-2.4,-6.3,1.30,39.2,6.5,182
2000-03-25,73,0.2,-3.4,1.80,59.4,6.5,179
2000-03-26,75,-1.2,-4.3,17.10,49.3,6.5,185
2000-03-27,73,-5.5,-8.8,2.90,37.1,5.2,180
2000-03-28,3,-6.5,-9.9,0.00,23.4,4.0,185
2000-03-29,3,-5.1,-8.5,0.00,19.1,3.3,189
2000-03-30,73,-6.4,-9.8,1.00,31.3,5.1,196
2000-03-31,3,-6.2,-9.9,0.00,34.2,5.1,186
2000-04-01,73,-5.0,-8.6,6.40,45.4,5.4,183
2000-04-02,73,-4.1,-7.5,4.10,38.5,4.4,175
2000-04-03,73,-6.3,-9.6,4.90,19.1,3.0,196
2000-04-04,2,-7.3,-10.8,0.00,22.0,4.7,187
2000-04-05,3,-7.3,-10.8,0.00,27.7,5.1,186
2000-04-06,3,-4.4,-8.1,0.00,27.0,5.1,186
2000-04-07,3,-3.4,-6.8,0.00,28.1,5.1,182
2000-04-08,3,-2.5,-5.8,0.00,29.9,5.4,181
2000-04-09,73,-0.7,-3.8,4.60,54.0,5.6,190
2000-04-10,73,0.7,-2.0,1.70,56.2,5.4,188
2000-04-11,53,2.8,0.2,2.20,43.6,6.1,182
2000-04-12,73,2.0,-0.6,3.10,33.8,5.4,181
2000-04-13,75,-0.8,-3.6,11.20,29.9,4.1,198
2000-04-14,73,-2.3,-5.2,1.40,35.6,4.7,186
2000-04-15,71,-2.9,-6.1,0.00,33.8,5.2,195
2000-04-16,73,-0.7,-3.6,1.60,30.2,4.8,193
2000-04-17,73,-1.3,-4.4,3.50,26.6,5.4,181
2000-04-18,3,0.4,-2.2,0.00,30.6,5.1,189
2000-04-19,3,1.1,-1.3,0.00,26.3,4.7,189
2000-04-20,51,0.7,-1.8,0.10,28.1,4.6,197
2000-04-21,3,0.4,-2.3,0.00,28.4,5.2,224
2000-04-22,3,2.2,-0.1,0.00,25.6,3.3,195
2000-04-23,71,0.3,-2.3,0.70,24.1,4.3,146
2000-04-24,73,0.4,-2.3,4.00,29.5,4.8,198
2000-04-25,73,0.0,-2.8,9.80,33.8,4.5,193
2000-04-26,73,0.2,-2.2,5.00,25.9,3.6,133
2000-04-27,71,-0.8,-3.7,0.50,28.1,4.8,122
2000-04-28,71,-0.7,-3.4,0.60,32.4,5.2,185
2000-04-29,73,-0.4,-3.4,9.30,50.0,6.4,201
2000-04-30,71,0.7,-2.0,2.70,59.4,6.1,189
2000-05-01,75,1.1,-1.9,14.60,84.6,8.0,189
2000-05-02,73,0.8,-1.9,5.10,63.0,5.9,192
2000-05-03,73,1.8,-0.6,0.90,41.0,4.8,187
2000-05-04,73,2.3,-0.3,9.20,77.8,7.1,193
2000-05-05,75,0.0,-2.7,21.50,71.6,4.8,210
2000-05-06,3,1.5,-0.9,0.00,31.7,5.4,196
2000-05-07,51,4.2,1.8,0.30,38.2,5.4,186
2000-05-08,53,3.3,0.7,5.40,72.7,7.1,195
2000-05-09,61,3.7,1.4,17.10,60.5,7.0,191
2000-05-10,73,3.7,1.5,30.50,59.4,5.7,194
2000-05-11,71,1.6,-0.9,0.90,52.2,5.2,210
2000-05-12,1,-0.5,-3.4,0.00,41.8,5.5,208
2000-05-13,71,0.4,-2.2,0.30,29.5,5.1,209
2000-05-14,2,2.5,0.1,0.00,21.2,4.3,194
2000-05-15,51,3.5,1.2,0.20,24.1,5.1,179
2000-05-16,3,5.1,2.6,0.00,27.0,6.1,189
2000-05-17,51,4.6,2.1,1.70,36.7,6.9,194
2000-05-18,61,2.8,0.6,5.40,48.2,6.2,196
2000-05-19,55,5.3,3.0,5.80,51.1,7.2,196
2000-05-20,61,4.8,2.3,15.60,63.4,7.3,194
2000-05-21,73,1.4,-1.5,11.90,73.4,8.2,204
2000-05-22,71,1.9,-0.5,0.90,29.9,4.9,251
2000-05-23,73,2.2,-0.2,4.20,28.4,5.5,255
2000-05-24,73,2.6,0.3,3.90,28.8,5.1,255
2000-05-25,73,2.2,-0.4,2.40,38.2,8.0,268
2000-05-26,51,3.5,1.1,0.40,35.3,7.1,300
2000-05-27,51,6.0,3.7,0.60,28.8,5.8,174
2000-05-28,71,6.1,3.6,12.70,41.0,8.1,223
2000-05-29,73,3.7,1.2,12.90,36.7,6.9,229
2000-05-30,75,2.6,-0.0,24.00,57.2,7.1,212
2000-05-31,75,1.0,-1.7,18.30,60.8,8.3,217
2000-06-01,73,0.1,-2.8,11.50,57.6,10.2,233
2000-06-02,73,0.3,-2.1,1.70,44.6,7.3,265
2000-06-03,71,-1.2,-4.0,1.30,28.8,6.5,21
2000-06-04,0,3.7,1.4,0.00,25.9,5.1,116
2000-06-05,53,5.8,3.9,2.00,25.6,4.3,179
2000-06-06,51,6.9,4.9,1.00,24.8,4.1,194
2000-06-07,55,7.9,5.7,2.90,27.7,5.0,180
2000-06-08,63,6.1,4.0,7.30,33.8,5.6,238
2000-06-09,61,5.2,2.9,2.00,52.9,9.4,268
2000-06-10,51,4.7,2.2,0.20,42.1,8.8,326
2000-06-11,1,8.3,6.3,0.00,27.4,5.4,157
2000-06-12,51,9.5,7.2,0.50,30.2,5.8,210
2000-06-13,73,8.1,6.5,23.50,43.6,4.8,168
2000-06-14,75,0.7,-2.3,16.30,62.6,6.8,193
2000-06-15,51,4.7,2.8,0.20,29.2,5.1,205
2000-06-16,53,5.0,3.0,4.20,35.3,5.4,211
2000-06-17,51,7.2,5.6,1.10,33.1,7.2,87
2000-06-18,61,9.2,8.0,5.70,29.9,4.8,128
2000-06-19,61,9.2,7.8,8.70,21.6,4.3,163
2000-06-20,61,7.6,6.1,16.70,30.6,6.1,224
2000-06-21,61,7.5,5.8,11.60,32.0,5.7,9
2000-06-22,61,8.1,6.5,4.00,31.7,6.5,5
2000-06-23,61,9.0,7.3,5.10,32.8,6.9,315
2000-06-24,55,10.3,8.6,3.00,29.5,6.9,263
2000-06-25,63,11.6,10.4,6.00,32.0,5.1,178
2000-06-26,63,11.1,9.8,14.90,27.7,4.7,170
2000-06-27,63,9.2,7.6,10.90,53.3,6.8,200
2000-06-28,63,8.2,6.6,19.90,33.5,4.7,229
2000-06-29,61,8.5,7.1,12.60,34.6,6.1,260
2000-06-30,61,8.6,7.2,7.60,30.6,6.2,355
2000-07-01,61,8.2,6.6,10.20,39.2,6.2,281
2000-07-02,61,6.5,4.7,5.70,43.9,7.9,284
2000-07-03,55,7.5,6.1,3.00,30.6,5.2,235
2000-07-04,51,10.2,8.7,0.90,25.6,4.4,201
2000-07-05,63,9.6,8.2,17.80,27.0,4.3,196
2000-07-06,61,10.2,8.7,8.70,25.6,4.7,211
2000-07-07,53,11.2,9.9,1.40,29.2,4.5,212
2000-07-08,53,12.1,11.0,1.70,27.7,5.0,182
2000-07-09,55,12.3,11.2,6.40,27.0,5.4,202
2000-07-10,63,9.8,8.2,12.00,35.6,6.3,222
2000-07-11,55,9.5,7.7,3.90,37.1,8.0,227
2000-07-12,61,9.3,7.5,5.70,39.2,7.2,231
2000-07-13,53,9.5,7.8,2.90,28.8,4.6,223
2000-07-14,61,8.0,5.9,9.30,35.6,5.9,210
2000-07-15,61,7.0,5.1,11.90,40.0,6.6,216
2000-07-16,61,6.2,4.5,15.90,41.0,5.6,247
2000-07-17,71,5.0,3.2,7.50,30.6,6.1,6
2000-07-18,73,5.0,3.3,10.60,33.5,5.2,241
2000-07-19,73,6.2,4.5,9.60,32.4,4.3,164
2000-07-20,51,9.1,7.5,1.30,25.9,4.7,130
2000-07-21,61,9.5,8.1,8.10,26.6,4.2,201
2000-07-22,63,8.8,7.3,15.20,31.3,5.6,246
2000-07-23,63,7.6,5.4,15.10,46.8,7.9,221
2000-07-24,61,6.1,4.1,12.40,42.5,6.9,234
2000-07-25,55,6.9,5.2,4.70,29.5,6.2,333
2000-07-26,53,9.2,7.8,1.90,27.0,5.8,69
2000-07-27,61,10.5,9.4,8.00,26.6,4.9,98
2000-07-28,61,10.9,9.9,5.90,27.0,4.5,123
2000-07-29,53,12.1,10.9,1.10,29.2,5.9,62
2000-07-30,53,12.4,10.4,1.30,33.8,7.1,43
2000-07-31,61,10.8,8.9,2.80,33.5,7.1,347
2000-08-01,61,8.3,6.3,4.00,39.6,7.9,308
2000-08-02,51,9.9,8.3,0.70,31.7,8.1,6
2000-08-03,51,9.7,8.4,0.10,34.6,7.6,44
2000-08-04,2,12.2,11.3,0.00,30.6,5.8,111
2000-08-05,63,12.5,11.7,12.50,27.4,4.7,208
2000-08-06,63,11.3,10.4,21.20,27.7,4.1,212
2000-08-07,63,11.0,9.9,18.10,27.7,4.6,216
2000-08-08,63,9.5,8.3,27.40,35.6,5.2,242
2000-08-09,61,7.1,5.5,11.00,34.9,5.5,290
2000-08-10,51,8.2,6.5,0.90,28.8,6.2,13
2000-08-11,51,9.1,7.7,0.30,32.8,5.9,67
2000-08-12,51,10.2,9.1,0.40,28.1,5.1,17
2000-08-13,55,9.6,8.4,3.10,31.0,5.5,259
2000-08-14,61,8.8,7.3,5.60,29.5,5.6,222
2000-08-15,61,9.4,7.6,6.40,29.9,5.9,233
2000-08-16,63,8.4,6.5,19.00,64.1,8.2,226
2000-08-17,71,5.4,2.8,12.30,62.3,10.2,215
2000-08-18,61,6.0,4.1,5.20,30.6,5.9,248
2000-08-19,51,7.4,5.6,0.80,28.4,4.7,96
2000-08-20,73,6.4,4.4,15.50,30.2,5.2,244
2000-08-21,51,7.3,5.2,1.40,28.4,6.3,250
2000-08-22,51,8.1,6.1,1.00,29.2,5.5,237
2000-08-23,51,6.9,4.5,1.20,44.3,9.4,258
2000-08-24,2,9.4,7.8,0.00,31.0,6.1,104
2000-08-25,53,11.4,10.2,1.10,27.4,4.3,191
2000-08-26,61,11.2,9.9,2.00,27.4,4.0,223
2000-08-27,51,11.2,9.8,0.30,29.2,5.4,23
2000-08-28,51,11.4,10.2,0.20,33.5,6.6,52
2000-08-29,53,10.5,8.7,1.60,32.4,6.9,257
2000-08-30,53,7.9,6.2,1.70,40.3,7.5,258
2000-08-31,51,6.2,4.2,1.60,41.8,7.6,292
2000-09-01,2,6.9,5.1,0.00,33.1,7.1,90
2000-09-02,3,8.2,6.3,0.00,32.0,5.4,133
2000-09-03,51,9.2,7.0,0.30,28.4,5.0,219
2000-09-04,53,8.1,6.1,2.40,26.6,5.2,216
2000-09-05,61,7.1,4.8,3.80,31.0,5.0,225
2000-09-06,61,5.6,3.3,7.40,30.6,5.0,236
2000-09-07,73,4.3,1.9,8.40,29.9,5.6,276
2000-09-08,71,4.5,1.8,3.60,33.5,6.7,49
2000-09-09,51,5.1,2.2,0.10,33.8,8.4,62
2000-09-10,2,6.2,3.5,0.00,31.3,6.8,15
2000-09-11,61,5.7,3.2,5.00,29.5,4.7,219
2000-09-12,51,7.1,4.8,0.60,25.2,4.8,219
2000-09-13,51,9.0,7.1,0.50,26.3,5.1,180
2000-09-14,53,8.5,6.4,5.60,37.4,6.5,223
2000-09-15,61,6.7,4.6,9.20,38.9,7.7,231
2000-09-16,51,7.5,5.5,0.90,24.1,4.7,222
2000-09-17,51,8.1,6.0,1.00,29.5,6.1,243
2000-09-18,1,8.2,6.3,0.00,32.4,5.2,242
2000-09-19,71,5.1,2.8,14.10,59.8,9.9,242
2000-09-20,73,1.7,-0.9,3.40,41.0,6.5,226
2000-09-21,51,2.7,-0.4,0.70,32.0,5.6,206
2000-09-22,51,2.7,-0.4,0.60,36.0,6.3,213
2000-09-23,2,3.6,0.5,0.00,38.5,6.8,196
2000-09-24,75,2.7,-0.7,20.50,75.2,11.6,199
2000-09-25,75,-2.3,-5.7,9.70,74.9,7.1,216
2000-09-26,0,-4.3,-8.2,0.00,32.8,5.4,197
2000-09-27,3,-1.8,-5.6,0.00,30.6,5.8,185
2000-09-28,73,1.1,-2.5,7.10,76.3,7.6,186
2000-09-29,73,-0.7,-3.7,8.90,72.4,6.2,215
2000-09-30,2,-4.4,-8.0,0.00,35.3,5.8,204
2000-10-01,73,-1.0,-4.1,3.90,42.1,4.7,189
2000-10-02,75,-0.9,-3.9,18.50,64.8,5.9,193
2000-10-03,75,-0.8,-3.9,18.80,63.0,5.4,193
2000-10-04,73,-3.1,-6.6,5.00,45.0,6.4,206
2000-10-05,3,-5.2,-8.9,0.00,41.4,4.7,205
2000-10-06,71,-5.9,-9.8,0.60,43.6,5.7,206
2000-10-07,71,-6.9,-10.7,1.80,38.9,5.5,225
2000-10-08,0,-7.2,-10.9,0.00,23.8,4.7,192
2000-10-09,0,-6.8,-10.7,0.00,24.5,5.1,184
2000-10-10,1,-5.4,-9.4,0.00,28.1,5.4,185
2000-10-11,71,-3.9,-7.8,0.20,30.6,5.1,184
2000-10-12,73,-2.5,-6.1,5.40,44.6,5.4,186
2000-10-13,75,-1.2,-4.5,16.00,55.4,5.9,187
2000-10-14,75,-1.8,-5.0,35.80,63.4,5.4,192
2000-10-15,75,-5.1,-8.8,20.70,57.6,6.5,214
2000-10-16,3,-8.8,-13.0,0.00,46.8,6.1,215
2000-10-17,3,-5.6,-9.9,0.00,42.1,5.4,195
2000-10-18,75,-4.6,-8.6,16.80,65.9,6.1,187
2000-10-19,73,-4.8,-8.4,2.20,51.8,5.6,204
2000-10-20,75,-4.6,-8.2,18.70,52.9,6.0,208
2000-10-21,75,-8.0,-11.9,5.60,56.2,5.4,225
2000-10-22,0,-8.4,-12.8,0.00,31.7,5.4,187
2000-10-23,73,-7.4,-11.6,1.50,47.9,6.5,185
2000-10-24,75,-8.2,-12.4,19.10,77.8,7.3,197
2000-10-25,0,-7.7,-12.2,0.00,45.0,5.9,197
2000-10-26,3,-5.0,-9.6,0.00,38.9,5.8,189
2000-10-27,2,-0.1,-4.8,0.00,26.6,5.4,186
2000-10-28,1,-1.1,-5.5,0.00,34.2,5.5,189
2000-10-29,1,-2.2,-6.6,0.00,58.0,7.6,187
2000-10-30,1,-5.6,-9.8,0.00,64.4,8.0,194
2000-10-31,3,-4.2,-8.6,0.00,28.8,5.4,190
2000-11-01,3,-5.7,-10.0,0.00,32.0,5.2,202
2000-11-02,0,-5.0,-9.3,0.00,22.7,5.4,185
2000-11-03,1,-4.1,-8.5,0.00,30.6,5.8,187
2000-11-04,73,-5.1,-9.0,5.50,30.2,4.7,189
2000-11-05,75,-6.4,-10.0,19.80,34.2,5.1,190
2000-11-06,3,-7.6,-11.5,0.00,36.7,4.7,191
2000-11-07,73,-7.1,-10.7,6.40,27.4,3.8,191
2000-11-08,73,-8.8,-12.6,3.00,28.4,4.8,197
2000-11-09,3,-9.0,-13.3,0.00,23.8,5.4,179
2000-11-10,3,-6.3,-10.9,0.00,23.0,5.4,185
2000-11-11,73,-9.2,-13.3,6.10,24.8,4.3,183
2000-11-12,73,-12.4,-16.5,7.00,38.2,5.4,189
2000-11-13,71,-14.1,-18.7,0.00,43.6,5.9,189
2000-11-14,73,-10.5,-14.9,4.20,41.4,5.8,188
2000-11-15,73,-9.7,-13.7,12.20,44.3,5.4,190
2000-11-16,71,-13.5,-17.8,0.60,47.5,6.3,206
2000-11-17,2,-14.2,-18.7,0.00,26.6,5.1,190
2000-11-18,3,-7.6,-12.1,0.00,23.0,5.4,184
2000-11-19,3,-7.0,-11.5,0.00,38.9,5.4,198
2000-11-20,0,-8.2,-12.7,0.00,32.0,5.2,195
2000-11-21,0,-8.6,-12.9,0.00,29.9,5.2,191
2000-11-22,3,-10.9,-15.4,0.00,40.0,5.9,190
2000-11-23,3,-11.4,-15.7,0.00,33.1,4.9,194
2000-11-24,0,-10.3,-14.9,0.00,25.2,4.7,188
2000-11-25,2,-10.4,-14.8,0.00,21.6,4.7,184
2000-11-26,3,-11.4,-15.8,0.00,23.8,5.1,186
2000-11-27,3,-12.8,-17.4,0.00,38.2,5.8,185
2000-11-28,75,-13.2,-17.8,5.80,81.0,10.2,190
2000-11-29,73,-16.9,-21.7,2.00,75.6,10.0,206
2000-11-30,0,-15.6,-20.5,0.00,34.6,6.1,186
2000-12-01,73,-10.9,-15.9,2.70,66.6,8.1,186
2000-12-02,73,-10.6,-14.9,2.90,66.6,8.2,195
2000-12-03,75,-10.8,-15.2,6.00,62.6,8.0,193
2000-12-04,75,-11.2,-15.4,9.50,50.8,5.9,205
2000-12-05,3,-12.5,-17.0,0.00,41.4,5.6,194
2000-12-06,0,-13.6,-18.1,0.00,40.0,5.5,190
2000-12-07,71,-14.4,-18.8,0.00,45.4,5.5,195
2000-12-08,71,-14.6,-18.9,0.50,34.6,4.7,191
2000-12-09,73,-13.3,-17.5,8.00,30.2,4.0,186
2000-12-10,2,-14.4,-18.8,0.00,22.3,5.1,181
2000-12-11,3,-7.8,-12.4,0.00,23.8,5.4,179
2000-12-12,73,-6.0,-10.5,0.50,34.2,5.4,191
2000-12-13,73,-10.3,-14.4,7.00,44.6,5.8,182
2000-12-14,73,-10.4,-14.7,7.30,48.6,6.4,190
2000-12-15,71,-10.1,-14.2,0.40,43.9,5.5,188
2000-12-16,73,-7.8,-11.8,7.50,42.5,5.6,189
2000-12-17,71,-10.6,-14.7,1.10,42.8,5.8,199
2000-12-18,3,-10.0,-14.7,0.00,26.3,5.8,181
2000-12-19,3,-8.9,-13.7,0.00,33.1,5.5,186
2000-12-20,3,-7.2,-11.9,0.00,34.9,5.8,186
2000-12-21,3,-5.9,-10.6,0.00,49.3,6.2,187
2000-12-22,0,-7.6,-12.1,0.00,47.2,5.8,187
2000-12-23,3,-10.4,-14.9,0.00,45.0,6.2,185
2000-12-24,71,-11.4,-15.8,0.10,38.5,5.8,185
2000-12-25,73,-9.4,-13.5,11.60,52.9,5.5,190
2000-12-26,73,-9.1,-13.1,3.80,54.4,5.4,188
2000-12-27,3,-9.5,-13.5,0.00,20.5,4.0,184
2000-12-28,3,-11.1,-15.3,0.00,20.5,4.7,184
2000-12-29,3,-11.8,-16.0,0.00,25.9,5.1,188
2000-12-30,3,-10.9,-15.4,0.00,25.2,5.1,183
2000-12-31,1,-8.3,-13.0,0.00,21.6,5.1,181
2001-01-01,2,-5.7,-10.4,0.00,20.9,5.4,186
2001-01-02,3,-8.8,-13.4,0.00,25.2,4.7,186
2001-01-03,71,-12.4,-16.8,1.10,39.2,5.5,190
2001-01-04,3,-12.3,-16.8,0.00,39.6,5.2,192
2001-01-05,0,-13.0,-17.5,0.00,37.8,5.2,196
2001-01-06,1,-14.4,-19.0,0.00,31.7,4.7,190
2001-01-07,1,-13.6,-18.3,0.00,23.8,5.4,187
2001-01-08,3,-14.4,-19.2,0.00,36.7,5.5,188
2001-01-09,73,-14.9,-19.6,5.70,66.2,8.1,197
2001-01-10,73,-16.4,-21.2,1.00,57.2,6.5,199
2001-01-11,1,-7.3,-12.1,0.00,25.2,5.8,185
2001-01-12,3,-8.3,-13.1,0.00,31.0,5.1,187
2001-01-13,73,-11.5,-16.2,1.20,47.5,5.8,186
2001-01-14,3,-14.0,-18.6,0.00,45.4,6.5,184
2001-01-15,75,-11.8,-16.4,20.10,69.5,8.6,187
2001-01-16,71,-19.1,-24.0,0.30,72.4,8.7,199
2001-01-17,71,-17.6,-22.6,0.00,54.0,7.0,194
2001-01-18,3,-14.2,-19.1,0.00,45.4,5.9,189
2001-01-19,73,-14.0,-18.4,6.10,45.4,5.2,190
2001-01-20,73,-13.8,-18.1,5.00,41.8,5.1,195
2001-01-21,71,-15.3,-19.6,0.00,33.5,4.5,190
2001-01-22,71,-17.5,-21.8,0.00,30.2,4.4,193
2001-01-23,71,-18.3,-23.0,0.00,52.2,6.9,188
2001-01-24,73,-18.5,-23.5,4.70,85.7,10.5,198
2001-01-25,3,-20.1,-24.8,0.00,42.8,4.9,197
2001-01-26,71,-20.7,-25.3,0.00,33.1,4.9,194
2001-01-27,3,-19.0,-23.8,0.00,31.7,5.5,188
2001-01-28,71,-15.1,-19.6,0.80,33.1,5.8,187
2001-01-29,3,-14.5,-18.8,0.00,25.9,4.7,172
2001-01-30,3,-13.4,-18.0,0.00,26.3,4.3,179
2001-01-31,3,-13.8,-18.5,0.00,20.9,4.7,189
2001-02-01,3,-14.7,-19.4,0.00,27.7,5.4,186
2001-02-02,3,-13.3,-18.0,0.00,29.2,5.8,186
2001-02-03,73,-13.0,-17.5,1.60,29.2,4.7,186
2001-02-04,73,-13.0,-17.3,4.20,32.4,4.7,186
2001-02-05,73,-11.7,-15.9,4.40,32.0,5.1,182
2001-02-06,73,-12.9,-17.1,0.50,34.9,4.7,185
2001-02-07,3,-13.7,-18.1,0.00,39.6,5.4,186
2001-02-08,71,-12.4,-16.7,1.00,43.2,5.1,189
2001-02-09,73,-14.0,-18.3,10.50,44.6,5.8,203
2001-02-10,71,-18.3,-22.7,0.20,24.5,4.5,207
2001-02-11,0,-17.1,-21.7,0.00,23.8,5.1,187
2001-02-12,1,-11.5,-16.0,0.00,31.7,5.2,191
2001-02-13,0,-8.1,-12.5,0.00,28.4,5.1,188
2001-02-14,2,-11.5,-16.0,0.00,49.0,5.9,186
2001-02-15,73,-10.1,-14.7,3.30,59.0,7.9,186
2001-02-16,73,-12.4,-16.9,5.90,62.3,8.0,186
2001-02-17,71,-12.3,-16.7,1.80,52.9,6.9,185
2001-02-18,73,-11.0,-15.2,6.20,47.9,6.2,186
2001-02-19,73,-8.1,-11.9,14.30,34.9,5.1,190
2001-02-20,73,-10.3,-14.3,3.00,41.8,5.4,194
2001-02-21,73,-9.0,-13.2,6.90,60.5,6.1,181
2001-02-22,75,-8.2,-12.2,12.80,55.4,5.8,180
2001-02-23,73,-11.3,-15.5,1.80,42.5,5.1,185
2001-02-24,71,-11.7,-16.0,0.10,36.7,5.4,186
2001-02-25,73,-13.2,-17.7,2.00,72.7,7.0,188
2001-02-26,3,-10.6,-14.9,0.00,36.0,5.8,182
2001-02-27,3,-9.8,-14.1,0.00,33.8,4.9,190
2001-02-28,3,-10.2,-14.3,0.00,27.0,5.4,185
2001-03-01,3,-8.9,-13.1,0.00,30.2,5.4,186
2001-03-02,73,-9.5,-13.6,2.30,34.2,4.3,187
