date,PM2.5,O3,CO,NO2,SO2,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available,temperature_2m_mean (°C),precipitation_sum (mm),apparent_temperature_mean (°C),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),Tree,Grass,Weed,Ragweed,Total_Pollen
2000-01-01,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,0.9,0.0,-3.5,40.0,21.1,224,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-02,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,4.9,0.5,1.1,50.0,26.5,215,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-03,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,10.3,0.8,7.3,54.0,28.0,236,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-04,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,10.4,8.9,7.1,85.7,35.1,185,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-05,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,1.5,11.9,-4.4,52.6,27.5,308,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-06,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,-2.4,0.0,-7.4,34.6,18.3,165,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-07,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,1.2,0.0,-3.2,41.0,23.1,239,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-08,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,-0.4,0.0,-5.8,40.3,23.3,270,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-09,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,2.5,0.0,-2.3,39.6,21.9,231,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-10,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,4.6,15.0,0.4,90.0,38.2,126,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-11,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,7.0,0.1,1.2,66.6,32.1,238,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-12,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,2.2,0.0,-4.4,61.6,30.5,283,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-13,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,-3.9,6.8,-9.6,57.6,29.1,328,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-14,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,-13.8,0.0,-21.7,55.8,29.6,312,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
2000-01-15,8.017676994150255,0.025265030838586833,0.26982078237267443,13.49294607907905,0.9104074060456929,32.446241499724316,23.38484677570972,3.0667886550777674,12.735986854117218,1.2946228528752801,34.59912376779847,,4.965863453815261,-14.1,0.0,-20.3,44.3,24.5,314,97.97889705882353,5.623409926470589,7.754002757352941,4.156838235294117,111.35630974264706
