date_local,PM2.5,O3,CO,NO2,SO2,date,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2009-02-15,9.0,0.027458,0.283333,11.125,3.208333,2009-02-15,38.0,25.0,3.0,10.0,5.0,38.0,Good,5
2009-02-16,7.0,0.023042,0.35,17.454545,0.416667,2009-02-16,29.0,21.0,4.0,16.0,1.0,29.0,Good,5
2009-02-17,10.4,0.019304,0.378261,22.75,0.8260870000000001,2009-02-17,43.0,18.0,4.0,21.0,1.0,43.0,Good,5
2009-02-18,9.3,0.02175,0.458333,24.375,4.2625,2009-02-18,39.0,20.0,5.0,23.0,6.0,39.0,Good,5
2009-02-19,9.0,0.014304,0.4727270000000001,22.045455,0.333333,2009-02-19,38.0,13.0,5.0,21.0,0.0,38.0,Good,5
2009-02-20,8.6,0.025333,0.244957,12.916667,2.6625,2009-02-20,36.0,23.0,3.0,12.0,4.0,36.0,Good,5
2009-02-21,7.3,0.021333,0.297708,18.565217,3.2125,2009-02-21,30.0,20.0,3.0,18.0,5.0,30.0,Good,5
2009-02-22,13.2,0.018208,0.541667,25.333333,3.475,2009-02-22,53.0,17.0,6.0,24.0,5.0,53.0,Moderate,5
2009-02-23,8.9,0.023875,0.391667,16.863636,3.166667,2009-02-23,37.0,22.0,4.0,16.0,5.0,37.0,Good,5
2009-02-24,6.1,0.023083000000000003,0.282609,16.333333,6.5,2009-02-24,25.0,21.0,3.0,15.0,9.0,25.0,Good,5
2009-02-25,10.2,0.014,0.422222,26.791667,5.291667,2009-02-25,42.0,13.0,5.0,25.0,8.0,42.0,Good,5
2009-02-26,14.0,0.02175,0.370833,34.6875,5.8,2009-02-26,55.0,20.0,4.0,33.0,8.0,55.0,Moderate,5
2009-02-27,10.2,0.034043000000000004,0.452174,22.375,0.0,2009-02-27,42.0,32.0,5.0,21.0,0.0,42.0,Good,5
2009-02-28,7.2,0.027458,0.4,11.875,3.175,2009-02-28,30.0,25.0,5.0,11.0,5.0,30.0,Good,5
2009-03-01,7.2,0.026667000000000003,0.308333,8.625,0.217391,2009-03-01,30.0,25.0,4.0,8.0,0.0,30.0,Good,5
2009-03-02,6.4,0.024833,0.273913,13.625,1.945455,2009-03-02,27.0,23.0,3.0,13.0,3.0,27.0,Good,5
2009-03-03,6.8,0.025174,0.30454499999999995,16.454545,2.6,2009-03-03,28.0,23.0,3.0,16.0,4.0,28.0,Good,5
2009-03-04,8.1,0.020708,0.283333,26.666667,3.8,2009-03-04,34.0,19.0,3.0,25.0,5.0,34.0,Good,5
2009-03-05,10.8,0.026647000000000004,0.45,30.041667,5.7083330000000005,2009-03-05,45.0,25.0,5.0,28.0,8.0,45.0,Good,5
2009-03-06,18.7,0.033458,0.5625,22.0,3.7,2009-03-06,65.0,31.0,6.0,21.0,5.0,65.0,Moderate,5
2009-03-07,16.0,0.025208,0.5625,29.0,3.7,2009-03-07,59.0,23.0,6.0,27.0,5.0,59.0,Moderate,5
2009-03-08,10.2,0.038333,0.470833,12.916667,2.25,2009-03-08,42.0,35.0,5.0,12.0,3.0,42.0,Good,5
2009-03-09,7.3,0.018647,0.258333,22.909091,2.2875,2009-03-09,30.0,17.0,3.0,22.0,3.0,30.0,Good,5
2009-03-10,12.8,0.021375,0.479167,23.272727,4.541667,2009-03-10,52.0,20.0,5.0,22.0,6.0,52.0,Moderate,5
2009-03-11,8.6,0.027125,0.470833,18.375,1.0375,2009-03-11,36.0,25.0,5.0,17.0,1.0,36.0,Good,5
2009-03-12,7.1,0.028542,0.345833,11.5,2.6,2009-03-12,30.0,26.0,4.0,11.0,4.0,30.0,Good,5
2009-03-13,6.9,0.026958,0.3625,11.583333,4.3,2009-03-13,29.0,25.0,4.0,11.0,6.0,29.0,Good,5
2009-03-14,17.1,0.022792,0.433333,21.333333,4.0125,2009-03-14,62.0,21.0,5.0,20.0,6.0,62.0,Moderate,5
2009-03-15,26.5,0.01825,0.488042,29.916667,5.3,2009-03-15,81.0,17.0,6.0,28.0,8.0,81.0,Moderate,5
2009-03-16,11.9,0.02825,0.331783,21.181818,2.442857,2009-03-16,50.0,26.0,4.0,20.0,3.0,50.0,Good,5
2009-03-17,8.3,0.024261,0.479167,33.708333,3.083333,2009-03-17,35.0,22.0,5.0,32.0,4.0,35.0,Good,5
2009-03-18,10.6,0.035739,0.458333,22.272727,2.714286,2009-03-18,44.0,33.0,5.0,21.0,4.0,44.0,Good,5
2009-03-19,9.6,0.025208,0.291667,21.590909,2.75,2009-03-19,40.0,23.0,3.0,20.0,4.0,40.0,Good,5
2009-03-20,6.4,0.02925,0.28725,15.875,3.583333,2009-03-20,27.0,27.0,3.0,15.0,5.0,27.0,Good,5
2009-03-21,9.2,0.030333,0.491667,14.041667000000002,4.625,2009-03-21,38.0,28.0,6.0,13.0,7.0,38.0,Good,5
2009-03-22,10.5,0.032625,0.425,14.0,3.913043,2009-03-22,44.0,30.0,5.0,13.0,6.0,44.0,Good,5
2009-03-23,5.7,0.033824,0.2,14.0,2.75,2009-03-23,24.0,31.0,2.0,13.0,4.0,31.0,Good,5
2009-03-24,5.6,0.032417,0.304167,16.090909,3.208333,2009-03-24,23.0,30.0,3.0,15.0,5.0,30.0,Good,5
2009-03-25,6.2,0.027824,0.414286,14.875,4.590909,2009-03-25,26.0,26.0,5.0,14.0,7.0,26.0,Good,5
2009-03-26,11.8,0.026375,0.520833,26.083333,3.6625,2009-03-26,49.0,24.0,6.0,25.0,5.0,49.0,Good,5
2009-03-27,10.0,0.023,0.5875,15.041667000000002,3.0,2009-03-27,42.0,21.0,7.0,14.0,4.0,42.0,Good,5
2009-03-28,8.3,0.033292,0.654167,8.0,4.347826,2009-03-28,35.0,31.0,7.0,8.0,6.0,35.0,Good,5
2009-03-29,4.3,0.032125,0.529167,11.958333,1.0,2009-03-29,18.0,30.0,6.0,11.0,1.0,30.0,Good,5
2009-03-30,5.9,0.012458,0.291783,22.75,2.541667,2009-03-30,25.0,12.0,3.0,21.0,4.0,25.0,Good,5
2009-03-31,4.5,0.02475,0.513043,22.375,3.826087,2009-03-31,19.0,23.0,6.0,21.0,5.0,23.0,Good,5
2009-04-01,9.6,0.0285,0.361833,24.545455,4.1,2009-04-01,40.0,26.0,4.0,23.0,6.0,40.0,Good,5
2009-04-02,17.5,0.01125,0.7,8.166667,1.916667,2009-04-02,62.0,10.0,8.0,8.0,3.0,62.0,Moderate,5
2009-04-03,8.2,0.038706,0.6304350000000001,27.833333000000003,1.458333,2009-04-03,34.0,36.0,7.0,26.0,2.0,36.0,Good,5
